# Wine 2026-03-27 code-table capture: symbol<TAB>name<TAB>pinyin
SH113049	长汽转债	CQZZ
SH512650	长三角	CSJ
SH512700	银行基金	YHJJ
SH512730	银行FUND	YHFUND
SH512800	银行ETF	YHETF
SH512820	银行股基	YHGJ
SH515020	银行指数	YHZS
SH515290	银行	YH
SH516210	银行股	YHG
SH516310	银行指基	YHZJ
SH516670	畜牧养殖	XMYZ
SH517160	长江ETF	CJETF
SH517330	长江保护	CJBH
SH517900	银行优选	YHYX
SH600000	浦发银行	PFYH
SH600015	华夏银行	HXYH
SH600016	民生银行	MSYH
SH600036	招商银行	ZSYH
SH600106	重庆路桥	CQLQ
SH600119	长江投资	CJTZ
SH600132	重庆啤酒	CQPJ
SH600148	长春一东	CCYD
SH600192	长城电工	CCDG
SH600202	哈空调	HKT
SH600211	西藏药业	XZYY
SH600279	重庆港	CQG
SH600326	西藏天路	XZTL
SH600333	长春燃气	CCRQ
SH600338	西藏珠峰	XZZF
SH600345	长江通信	CJTX
SH600525	ST长园	STCY
SH600561	江西长运	JXCY
SH600584	长电科技	CDKJ
SH600729	重庆百货	CQBH
SH600749	西藏旅游	XZLY
SH600757	长江传媒	CJCM
SH600773	西藏城投	XZCT
SH600839	四川长虹	SCCH
SH600855	航天长峰	HTCF
SH600892	*ST大晟	*STDS
SH600900	长江电力	CJDL
SH600908	无锡银行	WXYH
SH600917	重庆燃气	CQRQ
SH600919	江苏银行	JSYH
SH600926	杭州银行	HZYH
SH600928	西安银行	XAYH
SH600939	重庆建工	CQJG
SH601005	重庆钢铁	CQGT
SH601009	南京银行	NJYH
SH601128	常熟银行	CSYH
SH601158	重庆水务	CQSW
SH601166	兴业银行	XYYH
SH601169	北京银行	BJYH
SH601187	厦门银行	SMYH
SH601229	上海银行	SHYH
SH601288	农业银行	NYYH
SH601328	交通银行	JTYH
SH601398	工商银行	GSYH
SH601528	瑞丰银行	RFYH
SH601577	长沙银行	CSYH
SH601606	长城军工	CCJG
SH601633	长城汽车	CCQC
SH601658	邮储银行	YCYH
SH601665	齐鲁银行	QLYH
SH601818	光大银行	GDYH
SH601838	成都银行	CDYH
SH601860	紫金银行	ZJYH
SH601869	长飞光纤	CFGX
SH601916	浙商银行	ZSYH
SH601939	建设银行	JSYH
SH601963	重庆银行	ZQYH
SH601988	中国银行	ZGYH
SH601997	贵阳银行	GYYH
SH601998	中信银行	ZXYH
SH603099	长白山	CBS
SH603165	荣晟环保	RSHB
SH603323	苏农银行	SNYH
SH603569	长久物流	CJWL
SH603778	国晟科技	GSKJ
SH603858	步长制药	BCZY
SH603897	长城科技	CCKJ
SH603950	长源东谷	CYDG
SH605008	长鸿高科	CHGK
SH605018	长华集团	CHJT
SH605389	长龄液压	CLYY
SH688048	长光华芯	CGHX
SH688143	长盈通	CYT
SH688215	瑞晟智能	RSZN
SH688299	长阳科技	CYKJ
SH688458	美芯晟	MXS
SZ000001	平安银行	PAYH
SZ000066	中国长城	ZGCC
SZ000404	长虹华意	CHHY
SZ000423	东阿阿胶	DAEJ
SZ000521	长虹美菱	CHML
SZ000625	长安汽车	CAQC
SZ000661	长春高新	CCGX
SZ000762	西藏矿业	XZKY
SZ000783	长江证券	CJZQ
SZ000819	岳阳兴长	YYXC
SZ000966	长源电力	CYDL
SZ001227	兰州银行	LZYH
SZ001296	长江材料	CJCL
SZ001324	长青科技	CQKJ
SZ002032	苏泊尔	SBE
SZ002142	宁波银行	NBYH
SZ002391	长青股份	CQGF
SZ002452	长高电新	CGDX
SZ002616	长青集团	CQJT
SZ002778	中晟高科	ZSGK
SZ002807	江阴银行	JYYH
SZ002879	长缆科技	CLKJ
SZ002927	泰永长征	TYCZ
SZ002936	郑州银行	ZZYH
SZ002939	长城证券	CCZQ
SZ002948	青岛银行	QDYH
SZ002966	苏州银行	SZYH
SZ002997	瑞鹄模具	RHMJ
SZ123091	长海转债	CHZZ
SZ159867	畜牧ETF	XMETF
SZ159887	银行ETF	YHETF
SZ200625	长安Ｂ	CAB
SZ300088	长信科技	CXKJ
SZ300115	长盈精密	CYJM
SZ300169	天晟新材	TSXC
SZ300195	长荣股份	CRGF
SZ300196	长海股份	CHGF
SZ300301	ST长方	STCF
SZ300348	长亮科技	CLKJ
SZ300391	长药退	CYT
SZ300548	长芯博创	CXBC
SZ300604	长川科技	CCKJ
SZ300718	长盛轴承	CSZC
SZ301357	北方长龙	BFCL
SZ301421	波长光电	BCGD
SZ301518	长华化学	CHHX
SZ301618	长联科技	CLKJ
